מונח,תמונה_נוכחית,ממדים,upscale,bleed_תקין,חלופות_bleed,תמונות_לא_מתאימות
0מאלנים,יואב אליאסי ״הצל״ ואיתמר בן גביר,1920×1080,1,כן,—,"יואב אליאסי ״הצל״ מקבל דרגות קצונה מאיתמר בן גביר ומפקד מחוז ת""א (1080×893, ×1.78) | כתובת ""סמאלן בוגד"" בבית מפגין נגד בנימין נתניהו (1001×561, ×1.93)"
אזור חיץ,טנקים סמוך לגבול עזה,2560×1707,0.75,כן,"כוחות צה""ל בגבול לבנון (2400×1603, ×0.8) | פעילות כוחות צה""ל בדרום לבנון (1600×1066, ×1.2)",—
אירוע ה־7 באוקטובר,חמושים פלסטינים מגדודי עז א-דין אל-קסאם נעים לעבר מעבר ארז בין ישראל לצפון רצועת עזה,2280×1521,0.84,כן,"בית הרוס בקיבוץ בארי (1500×872, ×1.28) | מגרש כלי רכב שרופים שנאספו מעוטף עזה אל חניון מחוץ למושב תקומה (1200×675, ×1.6)",—
אנרכיסטים,"אוהד הפועל תל אביב בדיון בבג""ץ על החולצה נגד המשטרה",2000×1500,0.96,כן,"הפגנת המחאה נגד ההפיכה המשטרית (1600×1067, ×1.2) | הבערת צמיגים בכביש ארבע סמוך לאבן יהודה (1600×747, ×1.45)",—
אסירים,אסיר פלסטיני נפגש עם בני משפחתו בחאן יונס,2200×1279,0.87,כן,"אסירים פלסטינים בישראל (1859×1046, ×1.03) | אסירה ששוחררה במסגרת עסקת הפסקת האש (1200×800, ×1.6)",—
אספקה לאויב,משאית אספקה נכנסת לעזה,5500×3667,0.35,כן,"מפגינים מול חומה של שוטרים במעבר כרם שלום (3000×2000, ×0.64) | משאיות אספקה ממתינות לבידוק במעבר כרם שלום (1500×872, ×1.28)",—
אפרטהייד,פלסטינים במחסום קלנדיה,2200×1243,0.87,כן,"עימות בין חיילים לפלסטינים ליד סלפית (1500×1002, ×1.28)","עצרת נגד הסיפוח בכיכר רבין (1000×667, ×1.92)"
אש לא מידתית,תושבות הרצועה מול הריסות בניין שהופצץ בבית חאנון,2200×1468,0.87,כן,"הפצצה ישראלית בעיר עזה (1600×1067, ×1.2) | פלסטינים בוחנים את ההרס של בית שהפוצץ בח'אן יונס (1200×800, ×1.6)",—
בוגדים,תומכי נתניהו מחוץ לבית המשפט המחוזי בירושלים,2200×1282,0.87,כן,"הרכב איתו הגיע החשוד בהתזת שמן מנוע על מפגינים בבאר שבע (1499×872, ×1.28) | פעיל ליכוד אוחז בשלט ""שמאלנים בוגדים"" (1200×668, ×1.62)",—
ביביסטים,חולצת I Love BIBIZIM ,2447×1736,0.78,כן,"שלט בהפגנת תמיכה בנתניהו (1920×1074, ×1.01) | בנימין נתניהו לפני פתיחת משפטו הפלילי, כשמאחוריו חברי כנסת ושרים מהליכוד (1600×1067, ×1.2)",—
בני ערובה,"מבצע אנטבה, חזרת בני הערובה",2048×1461,0.94,כן,"בני הערובה מאנטבה נוחתים בישראל (2200×1276, ×0.87)","בני הערובה חוזרים לארץ לאחר מבצע אנטבה (1200×630, ×1.71)"
ג׳יהאד,פעילי חמאס,3000×2000,0.64,כן,"פעילי הג׳יהאד האיסלאמי (2464×1648, ×0.78) | פעילי חיזבאללה (1600×800, ×1.35)",—
גבול שביתת הנשק,משה שרת וצוותו בביקור בבית שביתת הנשק,3037×1869,0.63,כן,"הצוות הצבאי הישראלי לשיחות שביתת הנשק (1600×1405, ×1.2)","ועדת שביתת הנשק ישראל־מצרים נפגשת בשטח לקביעת תוואי הגבול (1024×813, ×1.88)"
גבולות אושוויץ,אתר מחנה ההשמדה אושוויץ,3694×2206,0.52,כן,"אבא אבן (1200×844, ×1.6)","הכותרת על הראיון ב""ידיעות אחרונות"" (1030×296, ×3.65)"
גדר הבטחון,פלסטינים חוצים את הגדר לשטח ישראל ליד חברון,3000×2000,0.64,כן,"חיילים ליד פרצה בגדר (2048×1365, ×0.94) | חמאס פורץ את הגדר בגבול עזה (1920×1077, ×1)",—
גדר ההפרדה,מבט על גדר ההפרדה בין ירושלים לגדה המערבית,2280×1521,0.84,כן,"גדר ההפרדה בבית לחם (1200×789, ×1.6)","גדר ההפרדה (1024×576, ×1.88)"
גזירת הגיוס,מפגינים נגד מעצר עריק,2400×1395,0.8,כן,"מפגינים חרדים בכביש 4 (1500×1002, ×1.28) | הפגנת חרדים (1200×800, ×1.6)",—
גירוש,המחאה נגד הגירוש,1920×1080,1,כן,"חוק גירוש המחבלים עבר בקריאה שנייה ושלישית (1600×1067, ×1.2) | הפגנה נגד גירוש מבקשי המקלט בדרום תל אביב (1500×872, ×1.28)",—
